url,titulo,preco,vendas,teste,marca
https://produto.mercadolivre.com.br/MLB-1789020775-furadeira-de-impacto-12-1100w-220v-dewalt-_JM?searchVariation=75639179337#searchVariation=75639179337&position=50&search_layout=stack&type=item&tracking_id=b18a8590-be56-4cc6-b9bc-d3fa02df8043,Furadeira De Impacto 1/2'' 1100w 220v Dewalt,2.096,1,6,DeWalt
https://produto.mercadolivre.com.br/MLB-1665950909-furadeira-parafusadeira-bosch-de-impacto-bosch-gdrgsb-1-_JM?searchVariation=174108372147#searchVariation=174108372147&position=48&search_layout=stack&type=item&tracking_id=b18a8590-be56-4cc6-b9bc-d3fa02df8043, Furadeira Parafusadeira Bosch De Impacto Bosch Gdr+gsb 1 ,949,4,6,Bosch
https://produto.mercadolivre.com.br/MLB-1687094429-cortador-de-chapa-de-aco-para-furadeira-fortgpro-fg8762-_JM?searchVariation=74898199619#searchVariation=74898199619&position=50&search_layout=stack&type=item&tracking_id=97c2da63-78dd-400b-99d4-15e39c90fa51,Cortador De Chapa De Aço Para Furadeira-fortgpro-fg8762,125,11,5,Western
https://produto.mercadolivre.com.br/MLB-2084280650-furadeira-e-parafusadeira-de-impacto-mondial-pi-12ma-bivolt-_JM?searchVariation=173903875936#searchVariation=173903875936&position=21&search_layout=stack&type=item&tracking_id=fa199071-dfb6-4284-ac75-99b8434104d0,Furadeira E Parafusadeira De Impacto Mondial Pi-12ma Bivolt,247,7,3,Mondial
https://produto.mercadolivre.com.br/MLB-1207298560-furadeira-de-impacto-makita-hp2070x-1010w-220v-_JM?searchVariation=174185767518#searchVariation=174185767518&position=49&search_layout=stack&type=item&tracking_id=b18a8590-be56-4cc6-b9bc-d3fa02df8043,Furadeira De Impacto Makita Hp2070x 1010w 220v,1.677,2,6,Makita
https://produto.mercadolivre.com.br/MLB-1309780687-milwaukee-parafusadeira-de-impacto-14-m12-fuel-2553-20-12v-_JM#position=49&search_layout=stack&type=item&tracking_id=dfc9ca9e-23d8-4b78-874b-d6368891665e,Milwaukee Parafusadeira De Impacto 1/4  M12 Fuel 2553-20 12v,1.230,10,4,Milwaukee
https://produto.mercadolivre.com.br/MLB-1236915212-furadeira-reversivel-550w-com-impacto-12-vonder-_JM?searchVariation=174152021110#searchVariation=174152021110&position=47&search_layout=stack&type=item&tracking_id=dfc9ca9e-23d8-4b78-874b-d6368891665e,Furadeira Reversível 550w Com Impacto 1/2 Vonder,248,17,4,Vonder
https://produto.mercadolivre.com.br/MLB-2087250768-parafusadeira-imp-brushless-20v-c-maleta-sbi810d2k-stanley-_JM#position=50&search_layout=stack&type=item&tracking_id=dfc9ca9e-23d8-4b78-874b-d6368891665e,Parafusadeira Imp Brushless 20v C/ Maleta Sbi810d2k Stanley,1.349,3,4,Stanley
https://produto.mercadolivre.com.br/MLB-1849278296-furadeira-impacto-parafusadeira-220v-500w-m0801g-12-makita-_JM?searchVariation=81264825590#searchVariation=81264825590&position=50&search_layout=stack&type=item&tracking_id=ac5ca077-f834-40df-8672-26d12d2adbd0,Furadeira Impacto Parafusadeira 220v 500w M0801g 1/2  Makita,361,7,8,Makita
https://produto.mercadolivre.com.br/MLB-1637538860-furadeira-de-impacto-38-tm500-black-decker-110v-500w-_JM?searchVariation=62556271974#searchVariation=62556271974&position=1&search_layout=stack&type=item&tracking_id=ac5ca077-f834-40df-8672-26d12d2adbd0,Furadeira De Impacto 3/8 Tm500 Black & Decker - 110v 500w,219,19,8,Black+Decker
https://produto.mercadolivre.com.br/MLB-2046929645-parafusadeira-impacto-14-20v-dcf7871b-b3-dewalt-s-bat-_JM?searchVariation=173773522764#searchVariation=173773522764&position=48&search_layout=stack&type=item&tracking_id=dfc9ca9e-23d8-4b78-874b-d6368891665e,Parafusadeira Impacto 1/4'' 20v Dcf7871b-b3  Dewalt S/ Bat,593,12,4,DeWalt
https://produto.mercadolivre.com.br/MLB-1001560623-furadeira-impacto-500w-13mm-m0801g-makita-_JM?searchVariation=94998803856#searchVariation=94998803856&position=50&search_layout=stack&type=item&tracking_id=e9c74561-da0f-4617-a662-a9e9a5438f62,Furadeira Impacto 500w 13mm M0801g Makita,368,5,11,Makita
https://www.mercadolivre.com.br/furadeira-martelete-eletrica-de-13mm-dewalt-dw505-50hz60hz-800w-amarela-220v-acessorios/p/MLB15452262?pdp_filters=category:MLB189007#searchVariation=MLB15452262&position=48&search_layout=stack&type=product&tracking_id=511be196-67d9-4d89-a890-3333c71df510,Furadeira martelete elétrica de 13mm DeWalt DW505 50Hz/60Hz 800W amarela 220V + acessórios,880,271,39,DeWalt
https://produto.mercadolivre.com.br/MLB-1362778362-parafusadeira-c-controle-de-torque-dw268-220v-dewalt-_JM?searchVariation=69290756179#searchVariation=69290756179&position=47&search_layout=stack&type=item&tracking_id=e9c74561-da0f-4617-a662-a9e9a5438f62,Parafusadeira C/ Controle De Torque Dw268 220v Dewalt,1.466,2,11,DeWalt
https://www.mercadolivre.com.br/furadeira-martelete-eletrica-de-13mm-schulz-fi500p-500w-vermelha-220v/p/MLB15752572?pdp_filters=category:MLB189007#searchVariation=MLB15752572&position=49&search_layout=stack&type=product&tracking_id=511be196-67d9-4d89-a890-3333c71df510,Furadeira martelete elétrica de 13mm Schulz FI500P 500W vermelha 220V,119,21648,39,Schulz
