url,titulo,preco,vendas,teste,marca,comentario
https://produto.mercadolivre.com.br/MLB-1360696238-furadeira-parafusadeira-a-bateria-trevalla-tl-fme-p02-7-12v-_JM#position=48&search_layout=stack&type=item&tracking_id=965b946d-785e-404f-baa8-ac430b1335b3,Furadeira Parafusadeira A Bateria Trevalla Tl-fme-p02-7 12v,187,799,6,Trevalla,"Funciona muito bem, até o momento está me atendendo. Utilizo só para parafusamento com pre-furo e pequenos furos, acredito que vai durar bastante comigo pois respeito que não é um produto pra meter bronca, quando a demanda é pesada pego outra ferramenta mais adequado. Coloquei um parafuso telheiro no eucalipto sem pre-furo com ela, até consegui, mas não farei mais isso, tadinha.170Muito bom, forte com uma bateria durável. No início fiquei em dúvida porque haviam outras com duas velocidades, mas, acabei optando por essa, para furar uso uma furadeira 127 v, e, parafuso com essa, apesar de que dá para parafusos pequenos sem abrir furos, mas, prefiro não forçar. Dá para fazer furos em madeira com as brocas normais, mas, é melhor usar as de encaixe sextavado, as normais podem se soltar durante a furação.10Muito bom ,porem é meio fraca em relação a função furadeira, e o controle de torque não é tão preciso. Bateria dura bem para trabalhos domésticos , ponto negativo é que não vem nenhum bit, nem mesmo 1 para já utilizar, você deve comprar.50Produto bom,usei em várias oportunidades e atendeu bem ,,,,para serviços em casa,coisas mais leves ela atende bem ,,consegui furar parede tbm,não é potente mas deu para pendurar um suporte de tv,rs. Quebra um bom galho sim.100Não gostei, mandril já ñ trava na função furadeira e a bateria dura pouco mais de uma hora trabalho muito fraca, só serve para uso esporádico e casual poderia ter uma bateria com melhor durabilidade.26"
https://produto.mercadolivre.com.br/MLB-2097469881-furadeira-de-impacto-12-pol-13mm-710w-dwd502-dewalt-_JM?searchVariation=173949017816#searchVariation=173949017816&position=46&search_layout=stack&type=item&tracking_id=b9807209-e7bf-497f-b6ab-8152937d1f07,Furadeira De Impacto 1/2 Pol. (13mm) 710w Dwd502 - Dewalt,449,4,9,DeWalt,"Ótima furadeira, mais silenciosa em relação as outro equivalentes, potente, ótimo acabamento. Dá conta do recado conforme vantagem:especificações e mais um pouco. Uma vantagem: é fabricada no brasil e tem 3 anos de garantia, alé de um ano de manutenção grátis. Recomendo.134Marca muito boa, potência ótima como semi profissional, só como  parafusadeira que não é muito boa, mas dá para uso doméstico. 
Resistente e acabamento muito bom.30Dewalt é a marca que eu confio. Como não poderia ser diferente, é uma ótima ferramenta. Minha outra durou 15 anos sem manutenção. Então comprei essa. Mas já consertei a outra, pois os rolamentos, etc; fora o gatilho que deu problama, estavam intactos. Aproveitei e substitui os carvão/escovas. O gatilho, adaptei o deste modelo, pois o original dela custava três vezes mais caro que este.5126Produto muito bom, testei na parede ele se saiu perfeitamente, o barulho é um pouco menor doque outra que usei de 500w, testei com uma broca de 8mm em madeira e notei que a potencia reduz um pouco se vc simplesmente empurrar a furadeira, mas fura rapidamente. Se vc furar no jeitinho, ela fura sem perder velocidade e ainda sim bem rapido. A pegada dela é boa, e gostei tbm que ela não inicia no martele assim que vc bota na parede, vc tem que por x força que aí começa, achei isso interessante quando o reboco não é muito duro a furadeira não sai desimbestada kkk fazendo o furo ficar torto.143E um produto que atende as especificacoes, tem um torque muito bom, o mandril e resistente e o melhor, a chave do mandril nao escapa porem oque nao gostei e do barulho que ela faz, e estremamente barulhenta, as outra furadeiras nao sao tao barulhentas assim. 
Achei estranho!.07"
https://produto.mercadolivre.com.br/MLB-2004776626-kit-parafusadeira-furadeira-hp333-2-baterias-carregador-_JM?searchVariation=173561373035#searchVariation=173561373035&position=49&search_layout=stack&type=item&tracking_id=5e603a4b-292d-493b-b884-df2e21168bbf,Kit Parafusadeira Furadeira Hp333 +2 Baterias + Carregador,828,14,10,Makita,"Pesquisei bastante antes de decidir entre makita, bosch e dewalt no mesmo valor. A makita tem as seguintes vantagens: regulagem de torque (embreagem para parar no torque delimitado), luz na frente para iluminar o local e possui furadeira de martelete. Essa funcao não aconselho usar muito, é para furos eventuais, porém meu  primeiro uso foi justamente esse, onde precisei realizar um furo em um muro distante de rede eletrica. 

Empunhadora ótima, ótimo torque (dica, o seletor do meio de furar tem mais torque que o seletor de parafusar). 

Mandril muito bom e carregador também. Sem falar na qualidade dos materiais e acabamento. Ainda vem com o gancho para pendurar no cinto. Bateria dura bastante, pelo menos em uso eventual, já fiz varios furos e parafusei mais de 10 parafusos de 12mm em parede com buchas de nylon e nem sinal de enfraquecimento da bateria. 

Talvez para um uso mais hard recomendaria dewalt ou a makita 1 nivel acima, mas para uso eventual e hobbye, está mais do que suficiente nessa faixa de preço de 500 reais.16925Eu comprei principalmente pensando utilizar em polimentos diversos. Também irei, certamente, utilizar os demais recursos que esse equipamento oferece. Depois de pesquisar bastante considerei que essa furadeira/parafusadeira é a que teria melhor custo benefício. E o melhor preço encontrado com facilidade para parcelamento foi aqui.171Fraco e se a bateria for um pouco exigido,  já compromete as próximas cargas,  não segurando mais a carga de forma plena. Até os anos 2000 as ferramentas eram razoáveis e aceitáveis. Makita já foi boa, pois como disse tinha razoável qualidade,  ao contrário da alemã metabo, que na verdade sempre foi superior na grande maioria das ferramentas elétricas,  e continua mantendo a qualidade,  pena que o suporte no brasil sempre foi ruim, apesar que quase não dá problema e quando der,  a máquina já está muito bem pago, pode jogar no lixo que valeu a pena o investimento. Tenho muitas ferramentas da metabo, algumas há mais de duas década e nem escova foi trocado,  usando de forma severa. Resumindo,  é importante na hora da compra avaliar não só o valor da ferramenta,  é bom ver os custos de possíveis reparos futuros, vou dar alguns exemplos,  tenho uma montadora de produtos, uso muitas parafusadeiras,  e tive uma experiência desagradável com a bosch, uma vez deu problema na eletrônica do gatilho,  era exatamente o valor da máquina,  outra experiência foi com um soprador térmico makita,  a mesma coisa,  trocar uma resistência e o cabo,  mesmo valor de uma máquina nova. Um absurdo!. 
Portanto,  deixo minha avaliação totalmente imparcial,  e de forma técnica e que o consumidor aprenda a fazer este tipo de avaliação para não se arrepender com o investimento,  há um ditado que fala que o barato sai caro, mas nesse caso falando da marca,  não são. É, makita já foi, não é mais! lamentável!!!.93166Muito forte, apesar de ser apenas 12v. Tudo funciona perfeitamente. A função impacto impressiona, muito potente. Fura bastante bem paredes e até concreto (apesar de não ser recomendado utilizar para esse fim). Controle de torque preciso, evita estourar as madeiras mais frágeis. A construção da máquina é ótima, parece ser muito robusta. Irei fazer uso apenas doméstico e hobby, mas acredito que para uso profissional ela também aguente o tranco, mesmo sendo bem mais leve que os modelos mais potentes. Dá pra usar por bastante tempo sem cansar o braço. Tem muitas outras parafusadeiras mais baratas, mas preferi investir um pouco mais e levar uma makita pra casa, e valeu cada centavo. Makita é makita.10Apenas acrescentei mais uma makita para a lista. Esta parafusadeira é uma pequena notável, não deixe se enganar pelo tamanho pois ela encara o desafio. Trabalhei já com madeira, metal e algumas furações em parede e não tive dificuldade. A luz led ajuda, variações de torque suficiente e este kit adquirido com duas baterias de 1. 5a já ajuda muito, mas adquiri uma de 4. 0a para tocar direto. Carregador é bivolt e dá uma carga em bom tempo, por volta de 55 min. E mesmo a bateria de 4. 0a não acrescenta peso ao corpo da parafusadeira. Encara todo serviço e furacão, mas se vc usar direto em concreto deve partir para uma maior, mas esta eu indico para sua satisfação.4777"
https://produto.mercadolivre.com.br/MLB-1978349883-furadeira-force-pfu03mf-650w-maleta-acessorios-philco-110v-_JM?searchVariation=94102748831#searchVariation=94102748831&position=49&search_layout=stack&type=item&tracking_id=19a5e510-4af2-496e-b560-b46429cfa816,Furadeira Force Pfu03mf 650w Maleta Acessórios Philco 110v,515,171,11,Philco,"Não parece ser potente pelo tamanho mais surpreendeu, furei ferro, madeira de massaranduba e colunas de concretos e respondeu bem nem esquentou, sem contar nas brocas que vem junto na maleta são boas mesmo.01Aparelho muito forte e silencioso, maleta cheia de ferramentas, brocas e parafusos, td muito caprichado, adorei o produto.00Gostei muito é levi e tem uma boa potência já usei aqui e gostei.00Pelo preço é uma boa ferramenta, para hobby atende bem.00Muito bom, cumpre o seu papel ótima ferramenta.00"
https://produto.mercadolivre.com.br/MLB-1574272789-parafusadeira-impacto-bosch-18v-motor-sem-escova-gsb-18v-50-_JM?searchVariation=174179975261#searchVariation=174179975261&position=48&search_layout=stack&type=item&tracking_id=791dee3c-54c9-4649-9e3b-45ab1d2f734b,Parafusadeira Impacto Bosch 18v Motor Sem Escova Gsb 18v-50,1.279,8,13,Bosch,"Minha primeira parafusadeira apostei alto porque a minha furadeira elétrica já não estava boa. Então comprar uma parafusadeira que precisava + outra furadeira ficaria o mesmo preço desta máquina completa. Fiz vários furos videa 6. Para prender fios com grampo. Atravessei parede  de 25 cm com broca 10 mm parafusei várias câmeras em gesso e alvenaria. Máquina surpreendente. Faz o trabalho de minha furadeira elétrica + parafusadeira. Excepcional. Satisfação completa.110Sem dúvidas uma ótima ferramenta. Leve e potente. Já fiz vários trabalhos com ela e todos ela se sai muito bem. Fura concreto muito bem. Com um ponto de bateria,vc usa q abusa. Muito econômica. Parabéns bosh.138Nada supera a versatilidade de uma máquina dessas: a rapidez na troca das brocas, sem necessidade de uso de chave de mandril; o conforto de não precisar de tomada e extensão elétrica; o peso adequado e a ergonomia (formato do punho, superfície emborrachada, led de iluminação). Possuo também um modelo mais simples, com apenas 700 rpm e 15 nm de torque máximo, que já me resolvia mais de 80 % da demanda em trabalhos de perfuração e aparafusamento. Com essa nova máquina devo chegar em pelo menos 95%, pois ela praticamente se equivale a uma máquina com fio, em termos de desempenho. 
As duas baterias permitem trabalho praticamente ininterrupto, o torque de 50 nm é tamanho que pode até ocasionar lesões nos pulsos no caso de travamento da ferramenta (algumas máquinas ainda mais potentes do mercado internacional da bosch têm um sistema de segurança por sensor de travamento, desligando a máquina para evitar problemas). É mais fácil quebrar a cabeça do parafuso ou o bit do que o motor parar por falta de força. 
Único ponto de crítica é uma leve oscilação do madril, perceptível principalmente ao usar brocas mais finas. Certas fontes indicam que isso acontece em máquinas dotadas da função de impacto, não ocorrendo naquelas que não a possuem. Estudarei melhor a questão, pois a usei pouco até agora. 
Ainda assim, a máquina é impressionante. É nítido e perceptível que se trata de um produto de qualidade, para uso profissional.00Muito robusta, bastante forte e a bateria dura bastante. A segunda bateria se carrega em menos tempo do que a outra se esgota, no meu perfil de uso moderado, permitindo trabalho por tempo indefinido. Qualidade é show. Mandril metálico e motor brushless são os diferenciais em relação aos outros modelos. O mandril não fecha a zero, mas consegui usar brocas de 1mm. O controle de velocidade é muito preciso. A maleta é bem grande, e dá pra colocar muitas outras coisas. Para meu uso, prefiro uma maleta menor, já que uso apenas para guarda-la. Atendeu 200% das minhas expectativas. Recomendo este produto para uso profissional ou hobbystas, que como eu, tem pavor de ferramenta vagabunda. Bosch é indiscutivemente uma excelente marca.00Talvez ainda seja cedo para dizer, porque é nova, mas a duração e o tempo de recarga das baterias é excelente. A carga é mais rápida do que o meu consumo, permitindo trabalhar initerruptamente. Tem peso bom, é forte e bem acabada. Prefiro a luz na parte superior, mas isso é gosto. O controle de velocidade me parece pouco útil, não senti muita diferença, acaba ficando mais na profundidade do gatilho mesmo. A maleta é bonita e tem bastante espaço, permitindo colocar mais coisas.100"
https://produto.mercadolivre.com.br/MLB-1464072107-furadeira-bosch-gsb-450-re-de-impacto-450w-38-_JM?searchVariation=174135836604#searchVariation=174135836604&position=47&search_layout=stack&type=item&tracking_id=976900f4-a8e4-4aee-8721-88b176ed940e,Furadeira Bosch Gsb 450 Re De Impacto 450w 3/8,269,63,3,Bosch,"Perfeito para uso doméstico sem muito esforço. Cumpre o que promete. Os seus 450w de potência, dar conta de furar paredes e madeiras tranquilo.7935Não testei a fundo ainda, mas está funcionando. E a marca é de qualidade. Mas assisti seus testes no youtube e me deixou satisfeito. Fura e parafusa. Pra trabalhos mais difíceis e paredes mais duras, tem que ser 650w ou mais potente.4313Produto excelente, muito eficaz. Digo: quem reclama de pouca potência é porque não sabe ler, na descrição especifica. Nada a reclamar, mais uma vez ótimo produto, de uma excelente marca, conhecida por todos.8059Bem, nas mãos de quem tem experiência, essa máquina básica vira instrumento de fazer arte. Não compre se for trabalhar com furação de vigas ou de metais espessos. Fora isso, pode ser usada de forma eficiente em várias áreas. Ela tem reverso e controle de velocidade, o que já adianta muito. Pra sua potência relativamente baixa, é robusta até demais. 
Agora, vê se compra brocas boas e corretas para os usos, porque tem povo que compra broca vagabunda e coloca a culpa na máquina.130Furadeira bosch qualidade e  profissionalismo , se você vai comprar ferramentas e assim como eu precisa de ter ferramentas de qualidade e que te deixe independente então aposte em ferramentas da bosch e compre essa furadeira para começar pois uma boa ferramenta já te dá crédito para fazer seus trabalhos , use algo que vale a pena comece com essa furadeira e seja um profissional.00"
https://produto.mercadolivre.com.br/MLB-1977371162-furadeira-parafusadeira-impacto-18v-einhell-brushless-_JM?searchVariation=93982357998#searchVariation=93982357998&position=49&search_layout=stack&type=item&tracking_id=976900f4-a8e4-4aee-8721-88b176ed940e,Furadeira Parafusadeira Impacto 18v Einhell Brushless,775,34,3,Ancora,"O interessante é o custo/benefício. É pouco nm da parafusadeira, grande parte dos serviços de apertar parafusos tem que usar a função da furadeira. Mas recomendo sim, é econômica/durável a bateria dela, está com uma de 4 ah. Tem uma empunhadura boa.00Produto excelente, resistente, ótimo torque, muito bem acabada, muito resistente.00Muito boa potente muito forte e bonita.00Muito boa furadeira!  tem muita força!.00"
https://produto.mercadolivre.com.br/MLB-1285198475-furadeira-de-impacto-vonder-fiv1050-12-pol-1050w-_JM?searchVariation=173970015471#searchVariation=173970015471&position=45&search_layout=stack&type=item&tracking_id=976900f4-a8e4-4aee-8721-88b176ed940e,Furadeira De Impacto Vonder Fiv1050 1/2 Pol 1050w,656,14,3,Vonder,"Um pouco pesada para quem está acostumado a furadeiras padrão. É robusta e de ótima qualidade. Só falta testar furando concreto. Mas até onde foi testada a qualidade se mostrou excelente. Eu recomendo!.20Comprei pra ser usada mas ainda não houve oportunidade.02Ótima prá o trabalho que eu faço tô muito sastfeito é uma máquina forte aguenta trabalho pesado muito boa se um dia for comprar compro outro do mesmo modelo.00A furadeira é excelente, já usei e é muito potente mesmo, boa empunhadura, um show de ferramenta.00A vonder está de parabéns muito boa.00"
https://produto.mercadolivre.com.br/MLB-2054611816-furadeira-parafusadeira-14-bivolt-kit-gsr-1000sm-bosch-_JM?searchVariation=173806372054#searchVariation=173806372054&position=49&search_layout=stack&type=item&tracking_id=791dee3c-54c9-4649-9e3b-45ab1d2f734b,Furadeira/ Parafusadeira 1/4'' Bivolt + Kit Gsr 1000sm Bosch,404,16,13,Bosch,"É uma parafusadeira nota 1000, tem função de furadeira mas axei meio fraca para furadeira, mas eu comprei pra usar só como parafusadeira, cumpriu direitinho o papel, oq dizer né bosch é bosch, marca líder. Já se querem uma furadeira mesmo de verdade melhor pegar uma própria para tal.185Excelente furadeira!! boa qualidade, leve, compacta, ideal pra mim no auxílio das tarefas de parafusar e pequenos serviços em madeira!!.00Incrível. Estupendo. Sensacional. Muito boa mesmo e serve até como furadeira para paredes macias, placas de circuito impresso e alguns trabalhos mais leves. Tive dificuldade para furar alumínio de 1,5 mm mas é de se esperar já que o produto é pra isso. A duração da bateria é ótima também, assim como o torque, controle de velocidade, etc. Comprem!.70Produto de alta qualidade, funcionalidade e praticidade. 
Valeu a pena!.02Comprei para dar de dia dos pais e meu pai adorou, logo foi testando em tudo que pôde. Ela é bem pequena então além do fácil manuseio, ainda é tranquila pra transportar (vem numa maletinha muito bonita). Recomendo super a compra. Bonita, eficiente e com bom custo benefício!.00"
https://produto.mercadolivre.com.br/MLB-1248826450-parafusadeirafuradeira-a-bat-12v-pfv012-bivolt-kit-vonder-_JM?searchVariation=69526903293#searchVariation=69526903293&position=48&search_layout=stack&type=item&tracking_id=976900f4-a8e4-4aee-8721-88b176ed940e,Parafusadeira/furadeira A Bat 12v Pfv012 Bivolt + Kit Vonder,363,7,3,Vonder,"Alem de muito bonita é ótima! comprei com receio de que não teria uma boa qualidade e fiquei surpreso com ela! é melhor que o esperado. Recomendo sim! e fiz 2 videos dela no meu canal do youtub procure lá por arthur finger fiz um pequeno comparativo com a bosch.27465Excelente. Para uso profissional ela nao tem força e velocidade,para um uso domesteco e excelente. Uso regular semi proficional ela e boa. Fura madeira eucalipto com broca 16 sem problemas. Para fusar e desparafusar com parafuso 6mm em madeira eucalipto perfeita. Paafuso 8mm nao suporta apenas um pouco na madeira d eucalipto. Broca pra furar reboco e tijolo 6mm a 10mm no maximo. Pra concreto se nao pegar pedra ela fura ate 10mm. Eu fizo teste por isso minha opiniao,duraçao da bateria excelente,clao vc trabalhar muito vai acabar. Gostei da parafusadeira excelente acabamento e material muito bom a principio!.673176Ela é perfeita no peso,ótimo para segurar,e lindinha. Do jeito que eu queria. Agora no funcional,achei ela um pouco fraca para furar parede. 
Eu dei cinco estrelas porque eu queria uma parafusadeira,e ela pra mim serve como uma luva,achei ótima para parafusar. Como eu já tenho uma furadeira da bosch,de impacto,e sem controle de velocidade,eu precisava dessa amarelinha,pra por parafusos. Porque a de impacto estava estragando os meus parafusos,acabando com a cabeça deles. Ela tbm fura bem em madeira,eu testei aqui e furou bem,agora parede ela não quis furar. Se vc procura uma pra furar parede,melhor comprar uma de impacto,maiorzinha. Eu como mulher,achei essa ótima para o meu caso! estou começando na carpintaria e marcenaria,e amei ela. Há,e eu não poderia deixar de falar do kitzinho que vem com ela,que é perfeito. A mala é maravilhosa,e deixa tudo organizado como eu gosto. Agora só não testei a bateria,eu tinha que usá-la antes de avaliar,e não somente testar,tinha que vê a durabilidade da bateria primeiro,mas já foi. Pensamento positivo sempre,vai dá  tudo certo! qualquer problema eu volto aqui.223235Pelo preço e pelo que ela oferece, é nota 3. Fiquei meio decepcionado com a parafusadeira. Ela não tem opção de velocidade (apenas tork) e o mandril dela é desajeitado. Você precisa segurar com uma mão e girar com a outra. Tenho uma bosh antiga que o mandril dela é fixo, portanto eu abro/fecho rodando apenas com uma mão. Pode parecer besteira, mas é ruim de abrir/fechar o mandril para quem tem a mão larga por ex. A maleta que vem é a mesma coisa que nada, se você deixar no sol do meio dia por uns 15 minutos é capaz de derreter. As brocas você utiliza apenas uma vez e olhe lá. Quem puder optar por comprar sem o ""super"" kit vai se decepcionar um pouco menos!.88169A parafusadeira vonder pfv 012, uma das melhores que você pode encontrar no mercado! esta parafusadeira conta com uma potência de 650 w, uma velocidade máxima de 650 rpm, e um torque máximo de 23 n. M, ainda tem a possibilidade de regular até 18 posições diferentes para o torque, luz de led para lhe ajudar a realizar trabalhos em locais escuros, cabo com o revestimento emborrachado para uma melhor ergonomia, indicador de carga de bateria, e também é possível alternar entre parafusadeira e furadeira. Este modelo é perfeito para quando você necessita apertar e soltar parafusos com até 6 mm de diâmetro, bem como para realizar furos em metais e madeiras. Neste modelo estão inclusos: uma maleta para transporte; um carregador bivolt; seis brocas para madeira 1,5 mm, 2,5 mm, 3,0 mm, 4,0 mm, 5,0 mm e 6,0 mm. Vem com seis bits: duas fendas de 5 mm e 6 mm, dois phillips ph1 e ph2, dois pozidrive pz1 e pz2 e um soquete magnético de encaixe 1/4?. Eu recomendo!.12"
